screen_id	画面名	層	ユーザー	フェーズ	目的	主なUI要素	主なアクション	遷移先	通知	API	備考
-SCR 1.00	紹介LP	非ログイン	A/B	Before	紹介内容の理解・導線提供	LP本文, 特典説明, 紹介元明示, CTA	申込/体験予約を押す, 共有	申込フォーム	不要	なし	最重要画面
-SCR 2.00	紹介リンク（共有）	非ログイン	A	Before	AがBにURLを渡す	URL, 共有ボタン, テキストテンプレ	LINE/SNS共有	紹介LP	不要	なし	URLに紹介パラメータ付与
-SCR 3.00	申込フォーム	非ログイン	B	During	Bが申込・体験予約をする	入力フォーム, ボタン, バリデーション	送信	特典反映画面	必要（成功通知）	予約API/申込API	軽量UXを意識
-SCR 4.00	予約完了ページ	非ログイン	B	During	予約成功の確認	完了メッセージ, 特典案内	閉じる / ホームへ	特典反映画面	不要	特典API	UX遷移ブリッジ
-SCR 5.00	特典反映画面	非ログイン	B	After	特典が適用されたことを確認	特典カード, 反映ステータス	閉じる	継続利用画面	LINE通知	特典API	ブリッジ導線の一部
-SCR 6.00	軽Loop再紹介LP	非ログイン	B	Loop	Bが軽く再紹介する導線	再紹介ボタン, SNSテンプレ	再紹介リンク発行	紹介LP	不要	なし	入口循環の起点
-SCR 101.00	ログイン画面（Magic Link/SMS/LINE）	ログイン	A/B	Before	本人性の軽量確認	メール入力, SMSコード, Magic Link	認証	成果可視化画面	必要	認証API	パスワード不要UX
-SCR 102.00	成果可視化画面	ログイン	A	Before	紹介成果・進捗の可視化	成果カード, 進捗バー	詳細を見る	報酬履歴画面	不要	成果API	Heavy層の起点
-SCR 103.00	報酬履歴画面	ログイン	A	During	報酬の確認	一覧, 金額, ステータス	戻る	成果可視化画面	不要	報酬API	ギフト受取にも接続
-SCR 104.00	称号UX画面	ログイン	A	After	貢献の見える化	バッジ一覧, 獲得条件	SNS共有	再紹介リンク発行画面	不要	称号API	モチベーションUX
-SCR 105.00	再紹介リンク発行画面	ログイン	A/B	Loop	次の紹介を促す	シェアボタン, URLコピー	共有	紹介LP	不要	なし	Loopの核
-SCR 120.00	マイページ（B）	ログイン	B	During	継続利用のハブ	特典残高, 履歴, ステータス	再紹介する	再紹介リンク発行画面	不要	特典API	B側Heavyの中心
-SCR 121.00	利用履歴画面（B）	ログイン	B	After	利用状況確認	履歴テーブル	戻る	マイページ（B）	不要	利用API	リテンション要素
-SCR 122.00	ウォレット画面（特典残高）	ログイン	B	During	特典残高の確認	ポイント残高, 利用履歴	使う	マイページ（B）	不要	特典API	金融系UI
-SCR 200.00	成果通知（各チャネル）	非ログイン/ログイン	A	After	紹介成功通知	LINE/Email/SMS/Push	ログイン誘導	成果可視化画面	必要	通知API	本人性起点でチャネル分岐
-SCR 201.00	特典反映通知（各チャネル）	非ログイン/ログイン	A/B	After	特典反映通知	LINE/Email/SMS/Push	続きを読む	ログイン or 継続利用	必要	通知API	本人性起点でチャネル分岐
-SCR 202.00	感謝通知（各チャネル）	非ログイン/ログイン	A	Loop	再紹介促進	LINE/Email/SMS/Push	再紹介を見る	再紹介LP	必要	通知API	本人性起点でチャネル分岐
-SCR 900.00	エラーページ（共通）	全層	A/B	全フェーズ	致命的エラー表示	エラーメッセージ, Try Again	直前画面へ戻る	不要	なし	UX品質に必須	
